Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
otapie;33306;33366;5.1487350463867;952639;5.1449999809265;0;5.1587901115417;0;1740332066;0;0;793849;0;85.908636552526;14.091348908732;1029.0001102027;5.1487350463867;0;1740332061;0;0;
otapie;33306;33356;5.1492300033569;952371;5.1299982070923;0;5.1589870452881;0;1740332066;0;0;793384;0;87.621861627971;12.378169912774;1025.999716393;4.2890748977661;0;1740332061;0;0;
otapie;33306;33367;5.1492013931274;952368;5.1249966621399;0;5.1584601402283;0;1740332066;0;0;793908;0;87.414677816151;12.585371277766;1024.9994485864;5.0781970024109;0;1740332061;0;0;
otapie;33306;33343;5.1519861221313;952366;5.1499996185303;0;5.1595277786255;0;1740332066;0;0;792838;0;86.601948521158;13.398057692587;1029.9999683992;5.1519861221313;0;1740332061;0;0;
otapie;33306;33352;5.1500511169434;952369;5.1499977111816;0;5.1591591835022;0;1740332066;0;0;793210;0;88.25245650551;11.747577359412;1029.9996611917;5.1500511169434;0;1740332061;0;0;
otapie;33306;33357;5.1533460617065;952371;5.1549997329712;0;5.1589407920837;0;1740332066;0;0;793430;0;85.741993082032;14.258000904241;1031.0000314008;5.1533460617065;0;1740332061;0;0;
otapie;33306;33353;5.1522459983826;952368;5.1449990272522;0;5.1591119766235;0;1740332066;0;0;793256;0;86.200203979381;13.799806788621;1028.9999053977;5.1522459983826;0;1740332061;0;0;
otapie;33306;33342;5.1517848968506;952370;5.149998664856;0;5.1595749855042;0;1740332066;0;0;792795;0;82.621370030619;17.378644299833;1029.9998659967;5.1517848968506;0;1740332061;0;0;
otapie;33306;33306;5.1515645980835;952360;4.9700002670288;0;5.1619338989258;0;1740332066;0.70422526029192;0;790426;0;85.915488596827;13.380279060213;994.00015800389;2.1109590530396;0;1740332061;0;0;
otapie;33306;33350;5.1523637771606;952369;5.1549987792969;0;5.1592397689819;0;1740332066;0;0;793129;0;84.384112408045;15.615908795196;1030.9998265957;5.1523637771606;0;1740332061;0;0;
otapie;33306;33339;5.1519179344177;952371;5.1549983024597;0;5.1597409248352;0;1740332066;0;0;792630;0;86.808951602934;13.191080619012;1030.9997241932;5.1519179344177;0;1740332061;0;0;
otapie;33306;33351;5.15003490448;952369;5.1399984359741;0;5.1592001914978;0;1740332066;0;0;793169;0;89.202355752088;10.797667264048;1027.9997399936;5.15003490448;0;1740332061;0;0;
otapie;33306;33340;5.1519908905029;952363;5.1550002098083;0;5.159679889679;0;1740332066;0;0;792683;0;89.815699963464;10.184285525997;1031.0001338033;5.1519908905029;0;1740332061;0;0;
otapie;33306;33365;5.1486921310425;952368;5.1349992752075;0;5.1585669517517;0;1740332066;0;0;793801;0;84.615388643646;15.384615192865;1026.9999841996;5.1486921310425;0;1740332061;0;0;
otapie;33306;33341;5.1522450447083;952362;5.1549987792969;0;5.1596159934998;0;1740332066;0;0;792746;0;83.996138511535;16.003882555912;1030.9998265957;5.1522450447083;0;1740332061;0;0;
otapie;33306;33363;5.1517658233643;952368;5.154999256134;0;5.1586627960205;0;1740332066;0;0;793705;0;89.136772074691;10.863240631733;1030.9999289983;5.1517658233643;0;1740332061;0;0;
otapie;33306;33358;5.152813911438;952368;5.1399993896484;0;5.1588950157166;0;1740332066;0;0;793473;0;85.992216835354;14.00778378723;1027.9999447986;5.152813911438;0;1740332061;0;0;
otapie;33306;33369;5.1530289649963;952368;5.1549997329712;0;5.1583609580994;0;1740332066;0;0;794007;0;87.099903516078;12.900096115339;1031.0000314008;5.1530289649963;0;1740332061;0;0;
otapie;33306;33359;5.1523427963257;952368;5.1549987792969;0;5.1588459014893;0;1740332066;0;0;793522;0;88.360822853513;11.639186749052;1030.9998265957;5.1523427963257;0;1740332061;0;0;
otapie;33306;33368;5.1527981758118;952368;5.154999256134;0;5.158411026001;0;1740332066;0;0;793957;0;86.614948428664;13.385062997418;1030.9999289983;5.1527981758118;0;1740332061;0;0;
otapie;33306;33360;5.1517901420593;952368;5.154999256134;0;5.1588020324707;0;1740332066;0;0;793566;0;86.905923948116;13.094082395397;1030.9999289983;5.1517901420593;0;1740332061;0;0;
otapie;33306;33364;5.1525769233704;952368;5.1549987792969;0;5.1586179733276;0;1740332066;0;0;793750;0;87.972861100855;12.027160509768;1030.9998265957;5.1525769233704;0;1740332061;0;0;
otapie;33306;33361;5.152391910553;952368;5.154999256134;0;5.1587500572205;0;1740332066;0;0;793618;0;85.354037284619;14.645976042576;1030.9999289983;5.152391910553;0;1740332061;0;0;
otapie;33306;33362;5.1523180007935;952368;5.1299996376038;0;5.1587028503418;0;1740332066;0;0;793665;0;81.57894404937;18.421052500253;1026.0000236006;4.2673058509827;0;1740332061;0;0;
